@relation dataset1

@attribute Disease {'Fungal infection',Allergy,GERD,'Chronic cholestasis','Drug Reaction','Peptic ulcer diseae',AIDS,'Diabetes ',Gastroenteritis,'Bronchial Asthma','Hypertension ',Migraine,'Cervical spondylosis','Paralysis (brain hemorrhage)',Jaundice,Malaria,'Chicken pox',Dengue,Typhoid,'hepatitis A','Hepatitis B','Hepatitis C','Hepatitis D','Hepatitis E','Alcoholic hepatitis',Tuberculosis,'Common Cold',Pneumonia,'Dimorphic hemmorhoids(piles)','Heart attack','Varicose veins',Hypothyroidism,Hyperthyroidism,Hypoglycemia,Osteoarthristis,Arthritis,'(vertigo) Paroymsal  Positional Vertigo',Acne,'Urinary tract infection',Psoriasis,Impetigo}
@attribute 'Symptom 1' {itching,' skin_rash',' continuous_sneezing',' shivering',' stomach_pain',' acidity',' vomiting',' indigestion',' muscle_wasting',' patches_in_throat',' fatigue',' weight_loss',' sunken_eyes',' cough',' headache',' chest_pain',' back_pain',' weakness_in_limbs',' chills',' joint_pain',' yellowish_skin',' constipation',' pain_during_bowel_movements',' breathlessness',' cramps',' weight_gain',' mood_swings',' neck_pain',' muscle_weakness',' stiff_neck',' pus_filled_pimples',' burning_micturition',' bladder_discomfort',' high_fever'}
@attribute 'Symptom 2' {' skin_rash',' nodal_skin_eruptions',' shivering',' chills',' acidity',' ulcers_on_tongue',' vomiting',' yellowish_skin',' stomach_pain',' loss_of_appetite',' indigestion',' patches_in_throat',' high_fever',' weight_loss',' restlessness',' sunken_eyes',' dehydration',' cough',' chest_pain',' dizziness',' headache',' weakness_in_limbs',' neck_pain',' weakness_of_one_body_side',' fatigue',' joint_pain',' lethargy',' nausea',' abdominal_pain',' pain_during_bowel_movements',' pain_in_anal_region',' breathlessness',' sweating',' cramps',' bruising',' weight_gain',' cold_hands_and_feets',' mood_swings',' anxiety',' knee_pain',' stiff_neck',' swelling_joints',' pus_filled_pimples',' blackheads',' bladder_discomfort',' foul_smell_of urine',' skin_peeling',' blister'}
@attribute 'Symptom 3' {' nodal_skin_eruptions',' dischromic _patches',' chills',' watering_from_eyes',' ulcers_on_tongue',' vomiting',' yellowish_skin',' nausea',' stomach_pain',' burning_micturition',' abdominal_pain',' loss_of_appetite',' high_fever',' extra_marital_contacts',' restlessness',' lethargy',' dehydration',' diarrhoea',' breathlessness',' dizziness',' loss_of_balance',' headache',' blurred_and_distorted_vision',' neck_pain',' weakness_of_one_body_side',' altered_sensorium',' fatigue',' weight_loss',' sweating',' joint_pain',' dark_urine',' swelling_of_stomach',' cough',' pain_in_anal_region',' bloody_stool',' chest_pain',' bruising',' obesity',' cold_hands_and_feets',' mood_swings',' anxiety',' knee_pain',' hip_joint_pain',' swelling_joints',' movement_stiffness',' spinning_movements',' blackheads',' scurring',' foul_smell_of urine',' continuous_feel_of_urine',' skin_peeling',' silver_like_dusting',' blister',' red_sore_around_nose'}
@attribute 'Symptom 4' {' dischromic _patches',' watering_from_eyes',' vomiting',' cough',' nausea',' loss_of_appetite',' burning_micturition',' spotting_ urination',' passage_of_gases',' abdominal_pain',' extra_marital_contacts',' lethargy',' irregular_sugar_level',' diarrhoea',' breathlessness',' family_history',' loss_of_balance',' lack_of_concentration',' blurred_and_distorted_vision',' excessive_hunger',' dizziness',' altered_sensorium',' weight_loss',' high_fever',' sweating',' headache',' fatigue',' dark_urine',' yellowish_skin',' yellowing_of_eyes',' swelling_of_stomach',' distention_of_abdomen',' bloody_stool',' irritation_in_anus',' chest_pain',' obesity',' swollen_legs',' mood_swings',' restlessness',' hip_joint_pain',' swelling_joints',' movement_stiffness',' painful_walking',' spinning_movements',' scurring',' continuous_feel_of_urine',' silver_like_dusting',' small_dents_in_nails',' red_sore_around_nose',' yellow_crust_ooze'}
@attribute 'Symptom 5' {' cough',' chest_pain',' loss_of_appetite',' abdominal_pain',' spotting_ urination',' internal_itching',' passage_of_gases',' irregular_sugar_level',' blurred_and_distorted_vision',' family_history',' mucoid_sputum',' lack_of_concentration',' excessive_hunger',' stiff_neck',' loss_of_balance',' high_fever',' yellowish_skin',' headache',' nausea',' fatigue',' dark_urine',' yellowing_of_eyes',' distention_of_abdomen',' history_of_alcohol_consumption',' breathlessness',' sweating',' irritation_in_anus',' swollen_legs',' swollen_blood_vessels',' lethargy',' dizziness',' diarrhoea',' swelling_joints',' painful_walking',' unsteadiness',' small_dents_in_nails',' inflammatory_nails',' yellow_crust_ooze'}
@attribute 'Symptom 6' {' chest_pain',' abdominal_pain',' yellowing_of_eyes',' internal_itching',' blurred_and_distorted_vision',' obesity',' mucoid_sputum',' stiff_neck',' depression',' yellowish_skin',' dark_urine',' nausea',' diarrhoea',' headache',' loss_of_appetite',' high_fever',' constipation',' family_history',' history_of_alcohol_consumption',' fluid_overload',' breathlessness',' swelled_lymph_nodes',' sweating',' malaise',' swollen_blood_vessels',' prominent_veins_on_calf',' dizziness',' puffy_face_and_eyes',' fast_heart_rate',' painful_walking',' unsteadiness',' inflammatory_nails'}
@attribute 'Symptom 7' {' yellowing_of_eyes',' obesity',' excessive_hunger',' depression',' irritability',' dark_urine',' abdominal_pain',' muscle_pain',' diarrhoea',' loss_of_appetite',' mild_fever',' headache',' nausea',' constipation',' yellow_urine',' fluid_overload',' breathlessness',' sweating',' swelled_lymph_nodes',' malaise',' phlegm',' prominent_veins_on_calf',' puffy_face_and_eyes',' enlarged_thyroid',' fast_heart_rate',' blurred_and_distorted_vision'}
@attribute 'Symptom 8' {' excessive_hunger',' increased_appetite',' irritability',' visual_disturbances',' abdominal_pain',' muscle_pain',' mild_fever',' swelled_lymph_nodes',' nausea',' loss_of_appetite',' diarrhoea',' yellow_urine',' yellowing_of_eyes',' sweating',' malaise',' phlegm',' chest_pain',' enlarged_thyroid',' brittle_nails',' muscle_weakness',' drying_and_tingling_lips'}
@attribute 'Symptom 9' {' increased_appetite',' polyuria',' visual_disturbances',' swelled_lymph_nodes',' malaise',' loss_of_appetite',' pain_behind_the_eyes',' toxic_look_(typhos)',' diarrhoea',' mild_fever',' yellowing_of_eyes',' abdominal_pain',' phlegm',' throat_irritation',' fast_heart_rate',' chest_pain',' brittle_nails',' swollen_extremeties',' muscle_weakness',' irritability',' slurred_speech',' drying_and_tingling_lips'}
@attribute 'Symptom 10' {' polyuria',' malaise',' red_spots_over_body',' pain_behind_the_eyes',' back_pain',' belly_pain',' toxic_look_(typhos)',' yellowing_of_eyes',' muscle_pain',' receiving_blood_transfusion',' acute_liver_failure',' mild_fever',' throat_irritation',' redness_of_eyes',' rusty_sputum',' fast_heart_rate',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',' slurred_speech'}
@attribute 'Symptom 11' {' red_spots_over_body',' back_pain',' malaise',' belly_pain',' muscle_pain',' receiving_blood_transfusion',' receiving_unsterile_injections',' coma',' acute_liver_failure',' yellowing_of_eyes',' swelled_lymph_nodes',' redness_of_eyes',' sinus_pressure',' rusty_sputum',' depression',' irritability',' abnormal_menstruation',' palpitations'}
@attribute 'Symptom 12' {' muscle_pain',' malaise',' receiving_unsterile_injections',' stomach_bleeding',' coma',' swelled_lymph_nodes',' sinus_pressure',' runny_nose',' irritability',' abnormal_menstruation',' palpitations'}
@attribute 'Symptom 13' {' red_spots_over_body',' muscle_pain',' stomach_bleeding',' malaise',' phlegm',' runny_nose',' congestion',' abnormal_menstruation'}
@attribute 'Symptom 14' {' red_spots_over_body',' phlegm',' chest_pain',' congestion'}
@attribute 'Symptom 15' {' chest_pain',' blood_in_sputum',' loss_of_smell'}
@attribute 'Symptom 16' {' blood_in_sputum',' loss_of_smell',' muscle_pain'}
@attribute 'Symptom 17' {' muscle_pain'}

@data
'Chicken pox',itching,' skin_rash',' fatigue',' lethargy',' high_fever',' headache',' loss_of_appetite',' mild_fever',' swelled_lymph_nodes',' malaise',' red_spots_over_body',?,?,?,?,?,?
Psoriasis,' skin_rash',' joint_pain',' skin_peeling',' silver_like_dusting',' small_dents_in_nails',?,?,?,?,?,?,?,?,?,?,?,?
Malaria,' chills',' vomiting',' high_fever',' sweating',' headache',' nausea',' diarrhoea',' muscle_pain',?,?,?,?,?,?,?,?,?
'Cervical spondylosis',' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',?,?,?,?,?,?,?,?,?,?,?,?
Malaria,' chills',' vomiting',' high_fever',' sweating',' headache',' nausea',' muscle_pain',?,?,?,?,?,?,?,?,?,?
AIDS,' muscle_wasting',' patches_in_throat',' high_fever',' extra_marital_contacts',?,?,?,?,?,?,?,?,?,?,?,?,?
'(vertigo) Paroymsal  Positional Vertigo',' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',?,?,?,?,?,?,?,?,?,?,?
'Hepatitis D',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',?,?,?,?,?,?,?,?,?
'Hypertension ',' headache',' dizziness',' loss_of_balance',' lack_of_concentration',?,?,?,?,?,?,?,?,?,?,?,?,?
Psoriasis,' skin_rash',' joint_pain',' skin_peeling',' silver_like_dusting',' small_dents_in_nails',' inflammatory_nails',?,?,?,?,?,?,?,?,?,?,?
'Dimorphic hemmorhoids(piles)',' constipation',' pain_during_bowel_movements',' pain_in_anal_region',' bloody_stool',' irritation_in_anus',?,?,?,?,?,?,?,?,?,?,?,?
Osteoarthristis,' joint_pain',' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',?,?,?,?,?,?,?,?,?,?,?
'Chronic cholestasis',itching,' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',?,?,?,?,?,?,?,?,?,?
'Hypertension ',' headache',' chest_pain',' dizziness',' loss_of_balance',' lack_of_concentration',?,?,?,?,?,?,?,?,?,?,?,?
'Alcoholic hepatitis',' vomiting',' yellowish_skin',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',?,?,?,?,?,?,?,?,?,?,?
GERD,' stomach_pain',' ulcers_on_tongue',' vomiting',' cough',' chest_pain',?,?,?,?,?,?,?,?,?,?,?,?
'Urinary tract infection',' burning_micturition',' bladder_discomfort',' continuous_feel_of_urine',?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hyperthyroidism,' fatigue',' mood_swings',' restlessness',' sweating',' diarrhoea',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',?,?,?,?,?,?,?
'Bronchial Asthma',' fatigue',' cough',' breathlessness',' family_history',' mucoid_sputum',?,?,?,?,?,?,?,?,?,?,?,?
Tuberculosis,' chills',' vomiting',' fatigue',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',?
'Cervical spondylosis',' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',?,?,?,?,?,?,?,?,?,?,?,?
'(vertigo) Paroymsal  Positional Vertigo',' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',?,?,?,?,?,?,?,?,?,?,?
'Varicose veins',' fatigue',' cramps',' bruising',' obesity',' swollen_legs',' swollen_blood_vessels',' prominent_veins_on_calf',?,?,?,?,?,?,?,?,?,?
'Urinary tract infection',' burning_micturition',' bladder_discomfort',' foul_smell_of urine',?,?,?,?,?,?,?,?,?,?,?,?,?,?
Jaundice,itching,' vomiting',' fatigue',' weight_loss',' high_fever',' yellowish_skin',' dark_urine',' abdominal_pain',?,?,?,?,?,?,?,?,?
AIDS,' muscle_wasting',' high_fever',' extra_marital_contacts',?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Paralysis (brain hemorrhage)',' vomiting',' headache',' weakness_of_one_body_side',' altered_sensorium',?,?,?,?,?,?,?,?,?,?,?,?,?
Dengue,' skin_rash',' chills',' joint_pain',' fatigue',' high_fever',' headache',' nausea',' loss_of_appetite',' pain_behind_the_eyes',' back_pain',' malaise',' muscle_pain',' red_spots_over_body',?,?,?,?
Allergy,' shivering',' chills',' watering_from_eyes',?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Hepatitis C',' fatigue',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',' family_history',?,?,?,?,?,?,?,?,?,?,?
'Hypertension ',' chest_pain',' dizziness',' loss_of_balance',' lack_of_concentration',?,?,?,?,?,?,?,?,?,?,?,?,?
Acne,' skin_rash',' blackheads',' scurring',?,?,?,?,?,?,?,?,?,?,?,?,?,?
Osteoarthristis,' joint_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',?,?,?,?,?,?,?,?,?,?,?,?
Impetigo,' skin_rash',' high_fever',' blister',' red_sore_around_nose',' yellow_crust_ooze',?,?,?,?,?,?,?,?,?,?,?,?
Jaundice,itching,' vomiting',' fatigue',' weight_loss',' high_fever',' dark_urine',' abdominal_pain',?,?,?,?,?,?,?,?,?,?
Pneumonia,' chills',' fatigue',' cough',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',?,?,?,?,?,?
'Cervical spondylosis',' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',?,?,?,?,?,?,?,?,?,?,?,?
'Hepatitis E',' joint_pain',' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',?,?,?,?
Impetigo,' skin_rash',' high_fever',' blister',' red_sore_around_nose',' yellow_crust_ooze',?,?,?,?,?,?,?,?,?,?,?,?
Migraine,' acidity',' indigestion',' headache',' blurred_and_distorted_vision',' excessive_hunger',' stiff_neck',' depression',' irritability',' visual_disturbances',?,?,?,?,?,?,?,?
'Hypertension ',' headache',' chest_pain',' dizziness',' loss_of_balance',' lack_of_concentration',?,?,?,?,?,?,?,?,?,?,?,?
Acne,' pus_filled_pimples',' blackheads',' scurring',?,?,?,?,?,?,?,?,?,?,?,?,?,?
Impetigo,' high_fever',' blister',' red_sore_around_nose',' yellow_crust_ooze',?,?,?,?,?,?,?,?,?,?,?,?,?
'Cervical spondylosis',' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',?,?,?,?,?,?,?,?,?,?,?,?
AIDS,' muscle_wasting',' patches_in_throat',' high_fever',?,?,?,?,?,?,?,?,?,?,?,?,?,?
Migraine,' acidity',' indigestion',' headache',' blurred_and_distorted_vision',' excessive_hunger',' depression',' irritability',' visual_disturbances',?,?,?,?,?,?,?,?,?
AIDS,' muscle_wasting',' patches_in_throat',' high_fever',' extra_marital_contacts',?,?,?,?,?,?,?,?,?,?,?,?,?
Pneumonia,' chills',' fatigue',' cough',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',?,?,?,?,?,?
'Hepatitis C',' fatigue',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',' family_history',?,?,?,?,?,?,?,?,?,?,?
Psoriasis,' skin_rash',' joint_pain',' skin_peeling',' silver_like_dusting',' small_dents_in_nails',' inflammatory_nails',?,?,?,?,?,?,?,?,?,?,?
Arthritis,' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',?,?,?,?,?,?,?,?,?,?,?,?
'Hypertension ',' headache',' chest_pain',' dizziness',' loss_of_balance',' lack_of_concentration',?,?,?,?,?,?,?,?,?,?,?,?
AIDS,' muscle_wasting',' patches_in_throat',' high_fever',?,?,?,?,?,?,?,?,?,?,?,?,?,?
Tuberculosis,' chills',' vomiting',' fatigue',' weight_loss',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',?,?
'Peptic ulcer diseae',' indigestion',' loss_of_appetite',' abdominal_pain',' passage_of_gases',' internal_itching',?,?,?,?,?,?,?,?,?,?,?,?
Malaria,' chills',' vomiting',' high_fever',' headache',' nausea',' diarrhoea',' muscle_pain',?,?,?,?,?,?,?,?,?,?
GERD,' stomach_pain',' acidity',' ulcers_on_tongue',' vomiting',' chest_pain',?,?,?,?,?,?,?,?,?,?,?,?
'Chronic cholestasis',itching,' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',?,?,?,?,?,?,?,?,?,?
'Peptic ulcer diseae',' vomiting',' indigestion',' loss_of_appetite',' passage_of_gases',' internal_itching',?,?,?,?,?,?,?,?,?,?,?,?
Tuberculosis,' chills',' fatigue',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',?,?
'Diabetes ',' fatigue',' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' excessive_hunger',' increased_appetite',' polyuria',?,?,?,?,?,?,?
Pneumonia,' chills',' fatigue',' cough',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',?,?,?,?,?,?
Tuberculosis,' chills',' vomiting',' fatigue',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',?
Hypoglycemia,' fatigue',' anxiety',' sweating',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',?,?,?,?,?,?
Dengue,' skin_rash',' joint_pain',' vomiting',' fatigue',' high_fever',' headache',' nausea',' loss_of_appetite',' pain_behind_the_eyes',' back_pain',' malaise',' muscle_pain',' red_spots_over_body',?,?,?,?
'Cervical spondylosis',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',?,?,?,?,?,?,?,?,?,?,?,?,?
'Hepatitis C',' fatigue',' yellowish_skin',' nausea',' loss_of_appetite',' family_history',?,?,?,?,?,?,?,?,?,?,?,?
'Cervical spondylosis',' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',?,?,?,?,?,?,?,?,?,?,?,?
'Fungal infection',itching,' skin_rash',' nodal_skin_eruptions',' dischromic _patches',?,?,?,?,?,?,?,?,?,?,?,?,?
'Hepatitis E',' joint_pain',' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',?,?,?,?,?
Gastroenteritis,' vomiting',' sunken_eyes',' dehydration',' diarrhoea',?,?,?,?,?,?,?,?,?,?,?,?,?
Migraine,' acidity',' indigestion',' headache',' blurred_and_distorted_vision',' excessive_hunger',' depression',' irritability',' visual_disturbances',?,?,?,?,?,?,?,?,?
'Chronic cholestasis',itching,' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',?,?,?,?,?,?,?,?,?,?,?
'Urinary tract infection',' burning_micturition',' bladder_discomfort',' foul_smell_of urine',?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Hepatitis C',' fatigue',' yellowish_skin',' nausea',' yellowing_of_eyes',' family_history',?,?,?,?,?,?,?,?,?,?,?,?
'Chronic cholestasis',' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',?,?,?,?,?,?,?,?,?,?,?
Acne,' skin_rash',' pus_filled_pimples',' blackheads',' scurring',?,?,?,?,?,?,?,?,?,?,?,?,?
Gastroenteritis,' vomiting',' sunken_eyes',' dehydration',' diarrhoea',?,?,?,?,?,?,?,?,?,?,?,?,?
'Fungal infection',itching,' skin_rash',' nodal_skin_eruptions',?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hyperthyroidism,' fatigue',' mood_swings',' weight_loss',' restlessness',' sweating',' diarrhoea',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',?,?,?,?,?,?
Migraine,' acidity',' indigestion',' headache',' blurred_and_distorted_vision',' excessive_hunger',' stiff_neck',' depression',' irritability',' visual_disturbances',?,?,?,?,?,?,?,?
'Hepatitis B',itching,' fatigue',' lethargy',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellow_urine',' yellowing_of_eyes',' malaise',' receiving_blood_transfusion',' receiving_unsterile_injections',?,?,?,?,?
'Cervical spondylosis',' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',?,?,?,?,?,?,?,?,?,?,?,?
'hepatitis A',' joint_pain',' vomiting',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' mild_fever',' yellowing_of_eyes',' muscle_pain',?,?,?,?,?,?,?
'Chicken pox',itching,' skin_rash',' fatigue',' lethargy',' high_fever',' headache',' loss_of_appetite',' mild_fever',' swelled_lymph_nodes',' malaise',' red_spots_over_body',?,?,?,?,?,?
'Paralysis (brain hemorrhage)',' vomiting',' headache',' altered_sensorium',?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Varicose veins',' fatigue',' cramps',' bruising',' obesity',' swollen_legs',' swollen_blood_vessels',' prominent_veins_on_calf',?,?,?,?,?,?,?,?,?,?
'Hepatitis D',' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',?,?,?,?,?,?,?,?
'Hepatitis D',' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',?,?,?,?,?,?,?,?
'Urinary tract infection',' burning_micturition',' bladder_discomfort',' foul_smell_of urine',' continuous_feel_of_urine',?,?,?,?,?,?,?,?,?,?,?,?,?
'Hepatitis C',' fatigue',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',' family_history',?,?,?,?,?,?,?,?,?,?,?
'Fungal infection',itching,' skin_rash',' nodal_skin_eruptions',?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Hepatitis D',' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',?,?,?,?,?,?,?,?
'Drug Reaction',itching,' stomach_pain',' burning_micturition',' spotting_ urination',?,?,?,?,?,?,?,?,?,?,?,?,?
'Peptic ulcer diseae',' vomiting',' indigestion',' loss_of_appetite',' abdominal_pain',' passage_of_gases',' internal_itching',?,?,?,?,?,?,?,?,?,?,?
Jaundice,itching,' vomiting',' weight_loss',' high_fever',' yellowish_skin',' dark_urine',' abdominal_pain',?,?,?,?,?,?,?,?,?,?
'Dimorphic hemmorhoids(piles)',' constipation',' pain_during_bowel_movements',' pain_in_anal_region',' bloody_stool',' irritation_in_anus',?,?,?,?,?,?,?,?,?,?,?,?
'Hepatitis B',itching,' lethargy',' yellowish_skin',' dark_urine',' loss_of_appetite',' abdominal_pain',' yellow_urine',' yellowing_of_eyes',' malaise',' receiving_blood_transfusion',' receiving_unsterile_injections',?,?,?,?,?,?
'Fungal infection',itching,' skin_rash',' nodal_skin_eruptions',?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Alcoholic hepatitis',' vomiting',' yellowish_skin',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',' fluid_overload',?,?,?,?,?,?,?,?,?,?
'Diabetes ',' fatigue',' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' increased_appetite',' polyuria',?,?,?,?,?,?,?,?
'Diabetes ',' fatigue',' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' excessive_hunger',' increased_appetite',' polyuria',?,?,?,?,?,?,?
'Hypertension ',' headache',' chest_pain',' loss_of_balance',' lack_of_concentration',?,?,?,?,?,?,?,?,?,?,?,?,?
Acne,' skin_rash',' pus_filled_pimples',' blackheads',' scurring',?,?,?,?,?,?,?,?,?,?,?,?,?
Hypothyroidism,' fatigue',' weight_gain',' cold_hands_and_feets',' mood_swings',' lethargy',' dizziness',' puffy_face_and_eyes',' enlarged_thyroid',' brittle_nails',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',?,?,?,?
'Hepatitis C',' fatigue',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',?,?,?,?,?,?,?,?,?,?,?,?
Dengue,' skin_rash',' chills',' joint_pain',' vomiting',' fatigue',' high_fever',' headache',' nausea',' loss_of_appetite',' pain_behind_the_eyes',' back_pain',' malaise',' muscle_pain',' red_spots_over_body',?,?,?
Arthritis,' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',?,?,?,?,?,?,?,?,?,?,?,?
Hypoglycemia,' vomiting',' fatigue',' anxiety',' sweating',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',?,?,?,?,?
Pneumonia,' chills',' fatigue',' cough',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',?,?,?,?,?,?
Dengue,' skin_rash',' chills',' joint_pain',' vomiting',' fatigue',' high_fever',' headache',' nausea',' loss_of_appetite',' pain_behind_the_eyes',' back_pain',' malaise',' muscle_pain',' red_spots_over_body',?,?,?
'Urinary tract infection',' burning_micturition',' bladder_discomfort',' foul_smell_of urine',' continuous_feel_of_urine',?,?,?,?,?,?,?,?,?,?,?,?,?
GERD,' stomach_pain',' ulcers_on_tongue',' vomiting',' cough',' chest_pain',?,?,?,?,?,?,?,?,?,?,?,?
Tuberculosis,' chills',' vomiting',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',?,?
'hepatitis A',' joint_pain',' vomiting',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' diarrhoea',' mild_fever',' yellowing_of_eyes',' muscle_pain',?,?,?,?,?,?
'Hypertension ',' headache',' chest_pain',' dizziness',' loss_of_balance',' lack_of_concentration',?,?,?,?,?,?,?,?,?,?,?,?
AIDS,' muscle_wasting',' patches_in_throat',' high_fever',' extra_marital_contacts',?,?,?,?,?,?,?,?,?,?,?,?,?
Pneumonia,' chills',' fatigue',' cough',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',?,?,?,?,?,?
Acne,' skin_rash',' pus_filled_pimples',' scurring',?,?,?,?,?,?,?,?,?,?,?,?,?,?
Psoriasis,' joint_pain',' skin_peeling',' silver_like_dusting',' small_dents_in_nails',' inflammatory_nails',?,?,?,?,?,?,?,?,?,?,?,?
Hypoglycemia,' vomiting',' fatigue',' anxiety',' sweating',' headache',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',?,?,?,?,?,?
'Chicken pox',itching,' skin_rash',' fatigue',' high_fever',' headache',' loss_of_appetite',' mild_fever',' swelled_lymph_nodes',' malaise',' red_spots_over_body',?,?,?,?,?,?,?
GERD,' stomach_pain',' acidity',' vomiting',' cough',' chest_pain',?,?,?,?,?,?,?,?,?,?,?,?
Malaria,' chills',' high_fever',' sweating',' headache',' nausea',' diarrhoea',' muscle_pain',?,?,?,?,?,?,?,?,?,?
'Alcoholic hepatitis',' vomiting',' yellowish_skin',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',' fluid_overload',?,?,?,?,?,?,?,?,?,?
